김하나,문학,심화영어독해I,퀴디치,물리II,고급화학,어둠의 방어술,기하와 벡터,
김둘,어둠의 방어술,퀴디치,고급화학,심화영어독해I,문학,머글스터디,기하와 벡터,
김셋,물리II,어둠의 방어술,어둠의 방어술,심화영어독해I,퀴디치,문학,국제정치,
김넷,어둠의 방어술,영어2,문학,고급화학,머글스터디,국제정치,체육,
김다섯,어둠의 방어술,퀴디치,심화영어독해I,문학,기하와 벡터,머글스터디,체육,
김여섯,머글스터디,체육,어둠의 방어술,영어2,문학,국제정치,,
김일곱,물리II,영어2,고급화학,퀴디치,문학,체육,,
이하나,머글스터디,어둠의 방어술,심화영어독해I,국제정치,기하와 벡터,문학,,
이둘,영어2,퀴디치,머글스터디,문학,어둠의 방어술,국제정치,체육,
이셋,퀴디치,고급화학,문학,심화영어독해I,어둠의 방어술,국제정치,기하와 벡터,
박하나,머글스터디,어둠의 방어술,물리II,퀴디치,기하와 벡터,영어2,체육,문학
박둘,고급화학,체육,퀴디치,심화영어독해I,머글스터디,국제정치,문학,
박셋,체육,심화영어독해I,어둠의 방어술,고급화학,기하와 벡터,문학,,
박넷,어둠의 방어술,퀴디치,기하와 벡터,머글스터디,물리II,심화영어독해I,,
정하나,고급화학,머글스터디,국제정치,심화영어독해I,어둠의 방어술,체육,문학,
정둘,고급화학,어둠의 방어술,문학,퀴디치,영어2,기하와 벡터,국제정치,
정셋,어둠의 방어술,퀴디치,영어2,머글스터디,문학,기하와 벡터,국제정치,
최하나,국제정치,머글스터디,고급화학,문학,심화영어독해I,어둠의 방어술,퀴디치,
최둘,물리II,문학,고급화학,영어2,퀴디치,어둠의 방어술,체육,
